obsgroup,noise_percent,units,obslbnd,obsubnd,wt_percent
actet_mean_mon       ,0.001,in/day,0,1.00E+11,0.2
actet_mon            ,0.001,in/day,0,1.00E+11,0.2
recharge_ann         ,0.001,dimensionless,0,1,0.25
runoff_mon    ,0.001,cfs,0,1.00E+11,0.1
sca_daily            ,0.001,dimensionless,0,1,0.15
soil_moist_ann       ,0.001,dimensionless,0,1,0.2
soil_moist_mon       ,0.001,dimensionless,0,1,0.2
streamflow_daily_large_ascnd ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_large_ascnd_val ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_large_dscnd ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_large_dscnd_val ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_small_ascnd ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_small_ascnd_val ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_small_dscnd ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_small_dscnd_val ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_pulse_ascnd ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_pulse_ascnd_val ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_pulse_dscnd ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_pulse_dscnd_val ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_low ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_low_val ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_ex_low ,0.1,cfs,0,1.00E+11,0.15
streamflow_daily_ex_low_val ,0.1,cfs,0,1.00E+11,0.15
streamflow_mean_mon_val  ,0.1,cfs,0,1.00E+11,0.1
streamflow_mean_mon_cal  ,0.1,cfs,0,1.00E+11,0.1
streamflow_mon       ,0.1,cfs,0,1.00E+11,0.1
streamflow_mon_val       ,0.1,cfs,0,1.00E+11,0.1
streamflow_nodata,0.1,cfs,0,1.00E+11,0
streamflow_no_efc,0.1,cfs,0,1.00E+11,0.15
